DATE,STATE,PRODUCT,DEMAND
6/1/00,COLIMA,TOTAL Magna,18305
6/1/00,COLIMA,TOTAL Premium,3624
6/1/00,COLIMA,TOTAL Diesel,16662
6/1/00,MEXICO CITY,TOTAL Magna,403503
6/1/00,MEXICO CITY,TOTAL Premium,54010
6/1/00,MEXICO CITY,TOTAL Diesel,111101
6/1/00,DURANGO,TOTAL Magna,58865
6/1/00,DURANGO,TOTAL Premium,5890
6/1/00,DURANGO,TOTAL Diesel,55464
6/1/00,GUANAJUATO,TOTAL Magna,105474
6/1/00,GUANAJUATO,TOTAL Premium,11327
6/1/00,GUANAJUATO,TOTAL Diesel,82430
6/1/00,GUERRERO,TOTAL Magna,30132
6/1/00,GUERRERO,TOTAL Premium,6988
6/1/00,GUERRERO,TOTAL Diesel,14421
6/1/00,HIDALGO,TOTAL Magna,57685
6/1/00,HIDALGO,TOTAL Premium,4124
6/1/00,HIDALGO,TOTAL Diesel,42680
6/1/00,JALISCO,TOTAL Magna,156019
6/1/00,JALISCO,TOTAL Premium,20103
6/1/00,JALISCO,TOTAL Diesel,94541
6/1/00,MEXICO,TOTAL Magna,175349
6/1/00,MEXICO,TOTAL Premium,6440
6/1/00,MEXICO,TOTAL Diesel,71596
6/1/00,MICHOACAN,TOTAL Magna,65289
6/1/00,MICHOACAN,TOTAL Premium,8222
6/1/00,MICHOACAN,TOTAL Diesel,40318
6/1/00,MORELOS,TOTAL Magna,43514
6/1/00,MORELOS,TOTAL Premium,4225
6/1/00,MORELOS,TOTAL Diesel,13664
6/1/00,NAYARIT,TOTAL Magna,7497
6/1/00,NAYARIT,TOTAL Premium,2040
6/1/00,NAYARIT,TOTAL Diesel,3400
6/1/00,NUEVO LEON,TOTAL Magna,125102
6/1/00,NUEVO LEON,TOTAL Premium,22270
6/1/00,NUEVO LEON,TOTAL Diesel,86595
6/1/00,OAXACA,TOTAL Magna,32145
6/1/00,OAXACA,TOTAL Premium,2651
6/1/00,OAXACA,TOTAL Diesel,22291
6/1/00,PUEBLA,TOTAL Magna,91251
6/1/00,PUEBLA,TOTAL Premium,8318
6/1/00,PUEBLA,TOTAL Diesel,51564
6/1/00,QUERETARO,TOTAL Magna,52648
6/1/00,QUERETARO,TOTAL Premium,5563
6/1/00,QUERETARO,TOTAL Diesel,52153
6/1/00,SAN LUIS POTOSI,TOTAL Magna,29395
6/1/00,SAN LUIS POTOSI,TOTAL Premium,6137
6/1/00,SAN LUIS POTOSI,TOTAL Diesel,26282
6/1/00,SINALOA,TOTAL Magna,71286
6/1/00,SINALOA,TOTAL Premium,11668
6/1/00,SINALOA,TOTAL Diesel,77203
6/1/00,SONORA,TOTAL Magna,66658
6/1/00,SONORA,TOTAL Premium,4980
6/1/00,SONORA,TOTAL Diesel,66573
